group_id,title,status,confidence,variant_count,sku_sample,price_sample,lumen_output,product_type,product_type_source,category_profile,use_brand_profile,brand_profile,template_key,applied_fallbacks,image_folder,image_count,hero_image,image_confidence,issues,fix_prompts,inferred_fields,matched_collections,auto_applied_tags,publish_blockers,mapped_metafields,tags,ready_to_publish,review_required
A19-E26-3000K,A19 E26 LED Bulb,DRAFT,100,2,A19E26-3000K-1,6.99,450 lm,Light Bulb,mapped-existing,Light Bulb,yes,ironsmith-default,,description:brand-mention|tags:brand,a19-e26-3000k,2,assets/products/a19-e26-3000k/hero_white_front.jpg,95,,,,,,,custom.wattage,bulb|led|ironsmith-lighting-products|brand-ironsmith|ai-generated-draft|import-csv|group-a19-e26-3000k|mapped-product-type,yes,no
B11-E12-2700K,B11 E12 Candle LED,DRAFT,52,1,,,300 lm,Light Bulb,mapped-existing,Light Bulb,yes,ironsmith-default,,description:brand-mention|tags:brand,b11-e12-2700k,1,assets/products/b11-e12-2700k/lifestyle_room.jpg,23,"Missing SKU in row 4 | Missing or invalid price in row 4 | Missing specs: sku, price, wattage, voltage | Low-confidence hero image selection",Add SKU for each variant | Add price for each variant | Add wattage | Add voltage | Add a cleaner hero image (front-facing on plain background),,,,sku|price|wattage|voltage|hero_image,,candle|decorative|ironsmith-lighting-products|brand-ironsmith|ai-generated-draft|import-csv|group-b11-e12-2700k|mapped-product-type|needs-spec-review|needs-image-review|needs-copy-review|needs-ops-review,no,yes
MR16-HALF-MOON,Mr16 well light fixture - half moon,DRAFT,94,1,MR16-HM-ORB-KIT,59.99,,Well Light Fixture,mapped-existing,Well Light Fixture,yes,ironsmith-default,mr16-well-light,description:brand-mention|tags:template|tags:brand|metafield:material-template,MR16 Well Light Fixture - half moon,7,assets/products/MR16 Well Light Fixture - half moon/20260424_170234.jpg,45,Missing specs: lumen_output | Low-confidence hero image selection,Add lumen output | Add a cleaner hero image (front-facing on plain background) | Verify inferred base_type: GU5.3,base_type:GU5.3,,,lumen_output|hero_image,custom.wattage|custom.material,well-light|mr16|half-moon|oil-rubbed-bronze|12v|landscape-lighting|ironsmith-lighting-products|brand-ironsmith|ai-generated-draft|import-csv|group-mr16-half-moon|inferred-specs|mapped-product-type|needs-spec-review|needs-image-review,no,yes
