group_id,title,status,confidence,variant_count,sku_sample,price_sample,lumen_output,image_folder,image_count,hero_image,image_confidence,issues,fix_prompts,mapped_metafields,tags,ready_to_publish,review_required
A19-E26-3000K,A19 E26 LED Bulb,DRAFT,100,2,A19E26-3000K-1,6.99,450 lm,a19-e26-3000k,2,assets/products/a19-e26-3000k/hero_white_front.jpg,95,,,custom.wattage,bulb|led|ai-generated-draft|import-csv|group-a19-e26-3000k,yes,no
B11-E12-2700K,B11 E12 Candle LED,DRAFT,52,1,,,300 lm,b11-e12-2700k,1,assets/products/b11-e12-2700k/lifestyle_room.jpg,23,"Missing SKU in row 4 | Missing or invalid price in row 4 | Missing specs: wattage, voltage | Low-confidence hero image selection",Add SKU for each variant | Add price for each variant | Add wattage | Add voltage | Add a cleaner hero image (front-facing on plain background),,candle|decorative|ai-generated-draft|import-csv|group-b11-e12-2700k|needs-spec-review|needs-image-review|needs-copy-review|needs-ops-review,no,yes
MR16-HALF-MOON,Mr16 well light fixture - half moon,DRAFT,88,1,MR16-HM-ORB-KIT,59.99,,MR16 Well Light Fixture - half moon,7,assets/products/MR16 Well Light Fixture - half moon/20260424_170234.jpg,45,"Missing specs: base_type, lumen_output | Low-confidence hero image selection","Add bulb base type (for example GU5.3, E26) | Add lumen output | Add a cleaner hero image (front-facing on plain background)",custom.wattage,well-light|mr16|half-moon|oil-rubbed-bronze|12v|ai-generated-draft|import-csv|group-mr16-half-moon|needs-spec-review|needs-image-review,no,yes
