template_key,match_any,use_brand_profile,default_description,default_product_type,default_price,default_tags,default_material
mr16-well-light,mr16|well light|half moon,yes,"Low-voltage MR16 well light fixture designed for landscape and pathway lighting applications.",Landscape Lighting,59.99,landscape-lighting|well-light|mr16,solid brass
underwater-light,underwater|under water|pond light|pond|pool light|swimming pool|submersible|submergible|ip68|water feature,yes,"Submersible IP-rated pond and pool light designed for underwater and water-feature applications.",Underwater Light Fixture,,underwater-light|pond-light|pool-light|submersible|ip68,cast brass
short-sleeve-tee,short sleeve tee|tee|t-shirt,yes,"Comfortable short sleeve tee designed for daily wear. Soft hand feel and consistent fit for repeat buyers.",Graphic Tees,24.99,short-sleeve-tee|core-tee,cotton blend
