title,handle,disjunctive,rule_count,rule_summary,tag_rules
Solar Lights,solar-lights,yes,4,TAG EQUALS solar landscape lighting | TAG EQUALS solar pathway lights | TAG EQUALS solar decorative lights | TAG EQUALS solar wall lights,solar landscape lighting|solar pathway lights|solar decorative lights|solar wall lights
Ceiling Fixtures,ceiling-fixtures,yes,3,TAG EQUALS ceiling flush mounts | TAG EQUALS ceiling recessed lights | TAG EQUALS ceiling fan,ceiling flush mounts|ceiling recessed lights|ceiling fan
Wall & Hanging Lights,wall-hanging-lights,yes,2,TAG EQUALS indoor wall lights | TAG EQUALS hanging pendant lights,indoor wall lights|hanging pendant lights
Task & Table Lighting,task-table-lighting,yes,2,TAG EQUALS Table Lamp | TAG EQUALS grow light,Table Lamp|grow light
Undercabinet Light Fixtures-Main,undercabinet-light-fixtures,no,2,TAG EQUALS under cabinet light | TAG NOT_EQUALS Puck Light,under cabinet light|Puck Light
General Purpose Bulbs,general-purpose-bulbs,yes,6,TAG EQUALS LED Bulbs | TAG EQUALS Halogen bulbs | TAG EQUALS Halogen | TAG EQUALS incandescent bulb | TAG EQUALS incandescent | TAG EQUALS LED Bulb,LED Bulbs|Halogen bulbs|Halogen|incandescent bulb|incandescent|LED Bulb
Specialty Bulbs,specialty-bulbs,yes,10,TAG EQUALS strip and rope lights | TAG EQUALS automotive | TAG EQUALS microwave | TAG EQUALS stove | TAG EQUALS tractor | TAG EQUALS headlight | TAG EQUALS turn signal | TAG EQUALS marker light | TAG EQUALS flasher | TAG EQUALS portable lights,strip and rope lights|automotive|microwave|stove|tractor|headlight|turn signal|marker light|flasher|portable lights
Mounting & Wiring,mounting-wiring,yes,9,TAG EQUALS stake | TAG EQUALS ground stake | TAG EQUALS spikes | TAG EQUALS spike | TAG EQUALS Wire Connector | TAG EQUALS wire nut | TAG EQUALS wirenut | TAG EQUALS twist on connector | TAG EQUALS connector,stake|ground stake|spikes|spike|Wire Connector|wire nut|wirenut|twist on connector|connector
Light Control & Add-ons,light-control-add-ons,yes,2,TAG EQUALS honeycomb louver | TAG EQUALS honeycomb,honeycomb louver|honeycomb
Ceiling Fan,ceiling-fan,yes,1,TAG EQUALS ceiling fan,ceiling fan
Ceiling Lights,ceiling-lights,yes,2,TAG EQUALS ceiling flush mounts | TAG EQUALS ceiling recessed lights,ceiling flush mounts|ceiling recessed lights
Outdoor Wall Lights,outdoor-wall-lights,yes,1,TAG EQUALS outdoor wall lights,outdoor wall lights
Christmas Lights,christmas-lights,no,1,TAG EQUALS Christmas Light,Christmas Light
Low Voltage Wire,low-voltage-wire,yes,1,TAG EQUALS Low Voltage Wire,Low Voltage Wire
FBA Products - Owned Inventory,fba-products-owned-inventory,no,1,TAG EQUALS FBA,FBA
CJ Collection,cj-collection,no,1,TAG EQUALS CJ Collection,CJ Collection
LT Collection,lt-collection,yes,1,TAG EQUALS LT Collection,LT Collection
Clearance,clearance,no,1,TAG EQUALS Clearance Collection,Clearance Collection
Automotive and Offroading Lighting,automotive-and-offroading-lighting,no,2,TAG EQUALS ballast | TAG EQUALS Automotive and offroading Lighting collection,ballast|Automotive and offroading Lighting collection
Projectors,projectors,yes,3,TAG EQUALS Projectors | TAG EQUALS Projection Lamp | TAG EQUALS projector light,Projectors|Projection Lamp|projector light
Ambient Decor Light,ambient-decor-light,yes,1,TAG EQUALS Ambient Decor Lights,Ambient Decor Lights
Puck Lights-Indoor,puck-lights,no,2,TAG EQUALS Puck Light | TAG EQUALS under cabinet,Puck Light|under cabinet
Solar Landscape Lighting,solar-landscape-lighting,yes,1,TAG EQUALS solar landscape lighting,solar landscape lighting
Brass Fixture And Accessories,brass-fixture-and-accessories,yes,6,TAG EQUALS brass light fixture | TAG EQUALS brass light | TAG EQUALS brass light cover | TAG EQUALS brass riser | TAG EQUALS Cast Brass | TITLE CONTAINS brass,brass light fixture|brass light|brass light cover|brass riser|Cast Brass
